EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component;Class
 2021-06-01 05:28:39;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:40;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:40;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:41;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:41;;Process Simple Event;MOP not completed activated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:28:42;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:45;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:46;;Process Simple Event;HH Rising;;;;PT15511;5 fokos eloremeno viz nyomas;PT15511;;;;;;395
 2021-06-01 05:28:46;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:46;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:47;;Process Simple Event;HH Falling;;;;PT15511;5 fokos eloremeno viz nyomas;PT15511;;;;;;395
 2021-06-01 05:28:47;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:48;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:49;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:49;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:50;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:51;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:53;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
