EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 21:28:21;;Process Simple Event;L Rising;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:23;;Process Simple Event;LL Falling;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:23;;Process Simple Event;L Falling;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:29;;Network Messages;The action Schdule_AG_NORI_20s104w_20195_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS01-NO1;Scheduler
 05-28-2021 21:28:29;;Process Simple Event;LL Rising;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:29;;Process Simple Event;L Rising;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:30;;Network Messages;The action Schedule_AG_NORI_5s8w_20198_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS01-NO1;Scheduler
 05-28-2021 21:28:32;Control Module;AuditEvent_OperatorAction;HSICmd.AutoMode True -> False ;True;False;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_5/Control Modules/U03_00/EqM_Reflux_5_U03_00/FRC2952;FRC2952;Reflux arany szabalyzo;{BFAC6C0C-3C4D-4EE2-87FF-49D5B4E35FFE};rgnor\rezsnyaki;;;OW07-NO2;Audit Trail configuration
 05-28-2021 21:28:36;;Process Simple Event;LL Falling;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:36;;Process Simple Event;L Falling;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:38;Control Module;AuditEvent_OperatorAction;HSICmd.OutManValue 58.13186 -> 100 ;58.13186;100;[Control Structure]Root/NOR_I_CN/NOR1/Applications/Application_5/Control Modules/U03_00/EqM_Reflux_5_U03_00/FRC2952;FRC2952;Reflux arany szabalyzo;{BFAC6C0C-3C4D-4EE2-87FF-49D5B4E35FFE};rgnor\rezsnyaki;;;OW07-NO2;Audit Trail configuration
 05-28-2021 21:28:42;;Process Simple Event;LL Rising;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
 05-28-2021 21:28:42;;Process Simple Event;L Rising;;;;PDIT5112;Nyomaskulonbseg meres;PDIT5112;;;;;
